id,potLi,x,y,z
11192,0,0,4.5,0
3339,0,0,7.3,0
9729,0,0,6.2,0
13044,0,0,2.2,0
3279,0,0,5.8,0
6671,0,0,3.8,0
11872,0,0,9,0
6672,0,0,3.7,0
1789,0,0,5.7,0
13070,0,0,6.6,0
6757,0,0,7,0
9823,0,0,9.8,0
9824,0,0,9.7,0
13073,0,0,1.3,0
6758,0,0,6.9,0
11193,0,0,4.4,0
236,0,0,0.9,0
11160,0,0,9.5,0
11159,0,0,9.6,0
5380,0,0,4.8,0
6856,0,0,1.9,0
5361,0,0,3.6,0
13514,0,0,10,0
8704,0,0,0.2,0
8703,0,0,0.3,0
7079,0,0,5.4,0
5270,0,0,3.9,0
5269,0,0,4,0
8672,0,0,8.9,0
10934,0,0,7.6,0
5226,0,0,5.1,0
11941,0,0,1.1,0
12940,0,0,2.6,0
1311,0,0,1.7,0
5891,0,0,2.4,0
5919,0,0,6,0
1314,0,0,4.1,0
5853,0,0,2.7,0
5852,0,0,2.8,0
11416,0,0,4.9,0
11415,0,0,5,0
1310,0,0,1.8,0
9614,0,0,8.7,0
12907,0,0,9.2,0
13392,0,0,0,0
13385,0,0,9.1,0
12169,0,0,3.1,0
3676,0,0,4.6,0
3675,0,0,4.7,0
11376,0,0,4.3,0
5618,0,0,5.6,0
9304,0,0,2.9,0
12566,0,0,9.9,0
3979,0,0,8,0
3980,0,0,7.9,0
9211,0,0,0.4,0
9691,0,0,2.1,0
9692,0,0,2,0
12873,0,0,0.1,0
11321,0,0,6.7,0
235,0,0,1,0
13179,0,0,9.3,0
12695,0,0,6.5,0
13133,0,0,6.4,0
13304,0,0,6.8,0
360,0,0,0.8,0
361,0,0,0.7,0
2743,0,0,7.4,0
13166,0,0,7.2,0
2658,0,0,3.4,0
2657,0,0,3.5,0
12087,0,0,8.1,0
7760,0,0,0.6,0
12743,0,0,3,0
4221,0,0,5.5,0
4467,0,0,7.1,0
13185,0,0,1.6,0
13269,0,0,1.2,0
12127,0,0,1.4,0
13199,0,0,1.5,0
13263,0,0,8.4,0
